ITEM NAME,RATING,QUANTITY,MRP,ACTUAL PRICE,OFFER,SBC_OFFER
Hybrid Tomato,0,500 gm,50,33,34% OFF,36% OFF
Onion - 1 kg,3.5,1 kg,50,50,,
5 kg Onion,3.8,5 kg,250,250,,
Potato,3.4,1 kg,19,19,,
Potato,3.6,5 kg,95,95,,
Potato,0,500 gm,12,12,,
Baby Potato,0,500 g,13,13,,7% OFF
Lady Finger,0,250 gm,7,7,,
Green Chilli,3.9,100 g,9,9,,
Picador Chilli,4,250 g,28,28,,7% OFF
Chilli - Organically grown,0,100 g,14,14,,
Green Capsicum,0,250 gm,45,38, 16% OFF, 18% OFF
Red Capsicum,0,2 units,84,84,,
Yellow Capsicum,0,2 units,83,83,,
Green Capsicum - Organically grown,0,1 unit,29,29,,
Red & Yellow Capsicum,0,2 units,84,84,,
Ginger (Adrak),3.9,250 g,19,19,,5% OFF
Bottle Gourd (Lauki),3.5,1 unit (400 - 600 g),19,19,,5% OFF
Lemon,3.7,250 g - 300 g,27,27,,
Lemon,0,1 unit,6,6,,
Colocasia (Arbi),3.4,250 g,6,6,,
Coriander - Bunch,4.1,100 g,16,16,, 7% OFF
Bitter Gourd (Karela),0,250 gm,11,11,,9% OFF
Black Brinjal - (Bharta Baigun),3.5,500 g,24,19, 21% OFF, 25% OFF
Small Black Brinjal,0,250 g,12,12,,8% OFF
Long Brinjal,3.6,500 g,15,15,, 7% OFF
French Beans,3.6,250 gm,24,24,,
Garlic (Lehsun),3.4,200 g,27,27,,
Shimla Apple,3.6,4 units (500-800g),108,108,,
Apple - Shimla,0,1 unit,29,29,,
Royal Gala Apple - Imported,3.2,4 units (500 - 700 g),206,206,,5% OFF
Sponge Gourd - (Tori),2.9,500 g,27,27,,
